0: itu-t
1.3.6.1.4.1.2363.4.3.1.1: euroControlEAIssuingCA
1.3.6.1.4.1.2363.4.3.1.1.1: euroControlEAClientCertificate
1.3.6.1.4.1.2363.4.3.1.1.2: euroControlEAServerCertificate
1.3.6.1.4.1.2363.4.3.1.1.3: euroControlEASWIMSigningCertificate
1.3.6.1.4.1.2428: uninett
1.3.6.1.4.1.2428.10: unisa
1.3.6.1.4.1.2428.10.1: policy-identifiers
1.3.6.1.4.1.2428.10.1.1: UNINETT policyIdentifier
1.3.6.1.4.1.2712: ice-tel-tlca
1.3.6.1.4.1.2712.10: ICE-TEL policyIdentifier
1.3.6.1.4.1.2786: politecnico-di-torino
1.3.6.1.4.1.2786.1: ???
1.3.6.1.4.1.2786.1.1: ???
1.3.6.1.4.1.2786.1.1.1: ICE-TEL Italian policyIdentifier
1.3.6.1.4.1.3029: cryptlib
1.3.6.1.4.1.3029.1: algorithm
1.3.6.1.4.1.3029.1.1: symetric-encryption
1.3.6.1.4.1.3029.1.1.1: blowfishECB
1.3.6.1.4.1.3029.1.1.2: blowfishCBC
1.3.6.1.4.1.3029.1.1.3: blowfishCFB
1.3.6.1.4.1.3029.1.1.4: blowfishOFB
1.3.6.1.4.1.3029.1.2: public-key-encryption
1.3.6.1.4.1.3029.1.2.1: elgamal
1.3.6.1.4.1.3029.1.2.1.1: elgamalWithSHA-1
1.3.6.1.4.1.3029.1.2.1.2: elgamalWithRIPEMD-160
1.3.6.1.4.1.3029.1.5: ecc
1.3.6.1.4.1.3029.1.5.1: curve25519
1.3.6.1.4.1.3029.3: attribute
1.3.6.1.4.1.3029.3.1: pkix-fixes
1.3.6.1.4.1.3029.3.1.1: cryptlibPresenceCheck
1.3.6.1.4.1.3029.3.1.2: pkiBoot
1.3.6.1.4.1.3029.3.1.4: crlExtReason
1.3.6.1.4.1.3029.3.1.5: keyFeatures
1.3.6.1.4.1.3029.4: content-type
1.3.6.1.4.1.3029.4.1: cryptlibContent
1.3.6.1.4.1.3029.4.1.1: cryptlibConfigData
1.3.6.1.4.1.3029.4.1.2: cryptlibUserIndex
1.3.6.1.4.1.3029.4.1.3: cryptlibUserInfo
1.3.6.1.4.1.3029.4.1.4: rtcsRequest
1.3.6.1.4.1.3029.4.1.5: rtcsResponse
1.3.6.1.4.1.3029.4.1.6: rtcsResponseExt
1.3.6.1.4.1.3029.42: cryptosys-pki
1.3.6.1.4.1.3029.42.11172: mpeg-of-cat
1.3.6.1.4.1.3029.42.11172.1: mpeg-1
1.3.6.1.4.1.3029.54: ???
1.3.6.1.4.1.3029.54.11940: ???
1.3.6.1.4.1.3029.54.11940.54: TSA policy "Anything that arrives, we sign"
1.3.6.1.4.1.3029.88: ???
1.3.6.1.4.1.3029.88.89: ???
1.3.6.1.4.1.3029.88.89.90: ???
1.3.6.1.4.1.3029.88.89.90.90: ???
1.3.6.1.4.1.3029.88.89.90.90.89: xYZZY policyIdentifier
1.3.6.1.4.1.3401: mcafee-inc
1.3.6.1.4.1.3401.8: ???
1.3.6.1.4.1.3401.8.1: ???
1.3.6.1.4.1.3401.8.1.1: pgpExtension
1.3.6.1.4.1.3576: mci-worldcom
1.3.6.1.4.1.3576.7: eciaAscX12Edi
1.3.6.1.4.1.3576.7.1: plainEDImessage
1.3.6.1.4.1.3576.7.2: signedEDImessage
1.3.6.1.4.1.3576.7.5: integrityEDImessage
1.3.6.1.4.1.3576.7.65: iaReceiptMessage
1.3.6.1.4.1.3576.7.97: iaStatusMessage
1.3.6.1.4.1.3576.8: eciaEdifact
1.3.6.1.4.1.3576.9: eciaNonEdi
1.3.6.1.4.1.4146: Globalsign
1.3.6.1.4.1.4146.1: globalsignPolicy
1.3.6.1.4.1.4146.1.1: GlobalSign EV policy
1.3.6.1.4.1.4146.1.10: globalsignDVPolicy
1.3.6.1.4.1.4146.1.20: globalsignOVPolicy
1.3.6.1.4.1.4146.1.30: globalsignTSAPolicy
1.3.6.1.4.1.4146.1.40: globalsignClientCertPolicy
1.3.6.1.4.1.4146.1.50: globalsignCodeSignPolicy
1.3.6.1.4.1.4146.1.60: globalsignRootSignPolicy
1.3.6.1.4.1.4146.1.70: globalsignTrustedRootPolicy
1.3.6.1.4.1.4146.1.80: globalsignEDIClientPolicy
1.3.6.1.4.1.4146.1.81: globalsignEDIServerPolicy
1.3.6.1.4.1.4146.1.90: globalsignTPMRootPolicy
1.3.6.1.4.1.4146.1.95: globalsignOCSPPolicy
1.3.6.1.4.1.4788: d-trust-gmbh
1.3.6.1.4.1.4788.2: ???
1.3.6.1.4.1.4788.2.202: ???
1.3.6.1.4.1.4788.2.202.1: D-TRUST EV policy
1.3.6.1.4.1.5309: edelweb-sa
1.3.6.1.4.1.5309.1: edelWebPolicy
1.3.6.1.4.1.5309.1.2: edelWebCustomerPolicy
1.3.6.1.4.1.5309.1.2.1: edelWebClepsydrePolicy
1.3.6.1.4.1.5309.1.2.2: edelWebExperimentalTSAPolicy
1.3.6.1.4.1.5309.1.2.3: edelWebOpenEvidenceTSAPolicy
1.3.6.1.4.1.5472: timeproof
1.3.6.1.4.1.5472.1: tss
1.3.6.1.4.1.5472.1.1: tss80
1.3.6.1.4.1.5472.1.2: tss380
1.3.6.1.4.1.5472.1.3: tss400
1.3.6.1.4.1.5770: medepass-com-inc
1.3.6.1.4.1.5770.0: ???
1.3.6.1.4.1.5770.0.3: secondaryPractices
1.3.6.1.4.1.5770.0.4: physicianIdentifiers
1.3.6.1.4.1.6334: betrusted
1.3.6.1.4.1.6334.1: ???
1.3.6.1.4.1.6334.1.100: ???
1.3.6.1.4.1.6334.1.100.1: Cybertrust EV policy
1.3.6.1.4.1.6449: sectigo-limited
1.3.6.1.4.1.6449.1: certificates
1.3.6.1.4.1.6449.1.2: policies
1.3.6.1.4.1.6449.1.2.1: ???
1.3.6.1.4.1.6449.1.2.1.3: ???
1.3.6.1.4.1.6449.1.2.1.3.1: comodoPolicy
1.3.6.1.4.1.6449.1.2.1.5: ???
1.3.6.1.4.1.6449.1.2.1.5.1: Comodo EV policy
1.3.6.1.4.1.6449.1.2.2: ???
1.3.6.1.4.1.6449.1.2.2.15: wotrustPolicy
1.3.6.1.4.1.6449.1.3: categories
1.3.6.1.4.1.6449.1.3.5: certified-delivery
1.3.6.1.4.1.6449.1.3.5.2: comodoCertifiedDeliveryService
1.3.6.1.4.1.6449.2: ???
1.3.6.1.4.1.6449.2.1: ???
1.3.6.1.4.1.6449.2.1.1: comodoTimestampingPolicy
1.3.6.1.4.1.7879: t-telesec
1.3.6.1.4.1.7879.13: ???
1.3.6.1.4.1.7879.13.24: ???
1.3.6.1.4.1.7879.13.24.1: T-TeleSec EV policy
1.3.6.1.4.1.8024: quovadis-limited
1.3.6.1.4.1.8024.0: ???
1.3.6.1.4.1.8024.0.2: ???
1.3.6.1.4.1.8024.0.2.100: ???
1.3.6.1.4.1.8024.0.2.100.1: ???
1.3.6.1.4.1.8024.0.2.100.1.2: QuoVadis EV policy
1.3.6.1.4.1.8231: lineo
1.3.6.1.4.1.8231.1: rolUnicoNacional
1.3.6.1.4.1.8301: tu-darmstadt
1.3.6.1.4.1.8301.3: cdc
1.3.6.1.4.1.8301.3.5: validity-models
1.3.6.1.4.1.8301.3.5.1: validityModelChain
1.3.6.1.4.1.8301.3.5.2: validityModelShell
1.3.6.1.4.1.11129: google
1.3.6.1.4.1.11129.2: trust-services
1.3.6.1.4.1.11129.2.4: certificate-transparency
1.3.6.1.4.1.11129.2.4.2: googleSignedCertificateTimestamp
1.3.6.1.4.1.11129.2.4.3: googlePrecertificatePoison
1.3.6.1.4.1.11129.2.4.4: googlePrecertificateCA
1.3.6.1.4.1.11129.2.4.5: googleOcspSignedCertificateTimestamp
1.3.6.1.4.1.11591: gnu
1.3.6.1.4.1.11591.1: gnuRadius
1.3.6.1.4.1.11591.2: gnupg-egypt
1.3.6.1.4.1.11591.2.2: pka-address
1.3.6.1.4.1.11591.2.2.1: gpgX509StandaloneCert
1.3.6.1.4.1.11591.2.2.2: gpgX509WellKnownPrivateKey
1.3.6.1.4.1.11591.2.2.10: gpgX509PgpKdfKekParm
1.3.6.1.4.1.11591.2.3: ???
1.3.6.1.4.1.11591.2.3.1: gpgCtPgpKeyblock
1.3.6.1.4.1.11591.2.4: ???
1.3.6.1.4.1.11591.2.4.1: ???
1.3.6.1.4.1.11591.2.4.1.1: gpgFingerprint
1.3.6.1.4.1.11591.2.4.1.2: gpgSubFingerprint
1.3.6.1.4.1.11591.2.4.1.3: gpgMailbox
1.3.6.1.4.1.11591.2.4.1.4: gpgSubCertID
1.3.6.1.4.1.11591.2.5: ???
1.3.6.1.4.1.11591.2.5.1: gpgNtds
1.3.6.1.4.1.11591.2.6: ???
1.3.6.1.4.1.11591.2.6.1: gpgX509PgpUseCert
1.3.6.1.4.1.11591.2.6.2: gpgX509PgpUseSign
1.3.6.1.4.1.11591.2.6.3: gpgX509PgpUseEncr
1.3.6.1.4.1.11591.2.6.4: gpgX509PgpUseAuth
1.3.6.1.4.1.11591.2.12242973: gpgInvalidOid
1.3.6.1.4.1.11591.3: gnuRadar
1.3.6.1.4.1.11591.4: gnu-gss
1.3.6.1.4.1.11591.4.11: scrypt
1.3.6.1.4.1.11591.12: gnuDigestAlgorithm
1.3.6.1.4.1.11591.12.2: tiger
1.3.6.1.4.1.11591.13: gnuEncryptionAlgorithm
1.3.6.1.4.1.11591.13.2: serpent
1.3.6.1.4.1.11591.13.2.1: serpent128_ECB
1.3.6.1.4.1.11591.13.2.2: serpent128_CBC
1.3.6.1.4.1.11591.13.2.3: serpent128_OFB
1.3.6.1.4.1.11591.13.2.4: serpent128_CFB
1.3.6.1.4.1.11591.13.2.21: serpent192_ECB
1.3.6.1.4.1.11591.13.2.22: serpent192_CBC
1.3.6.1.4.1.11591.13.2.23: serpent192_OFB
1.3.6.1.4.1.11591.13.2.24: serpent192_CFB
1.3.6.1.4.1.11591.13.2.41: serpent256_ECB
1.3.6.1.4.1.11591.13.2.42: serpent256_CBC
1.3.6.1.4.1.11591.13.2.43: serpent256_OFB
1.3.6.1.4.1.11591.13.2.44: serpent256_CFB
1.3.6.1.4.1.11591.15: ellipticCurve
1.3.6.1.4.1.11591.15.1: curve25519
1.3.6.1.4.1.11591.15.2: curve448
1.3.6.1.4.1.11591.15.3: curve25519ph
1.3.6.1.4.1.11591.15.4: curve448ph
1.3.6.1.4.1.14370: geotrust-inc
1.3.6.1.4.1.14370.1: certificate-policies
1.3.6.1.4.1.14370.1.6: GeoTrust EV policy
1.3.6.1.4.1.14777: izenpe-s-a
1.3.6.1.4.1.14777.6: ???
1.3.6.1.4.1.14777.6.1: ???
1.3.6.1.4.1.14777.6.1.1: Izenpe EV policy
1.3.6.1.4.1.14777.6.1.2: Izenpe EV policy
1.3.6.1.4.1.16334: northrop-grumman-inc
1.3.6.1.4.1.16334.509: x509-extensions
1.3.6.1.4.1.16334.509.1: ???
1.3.6.1.4.1.16334.509.1.1: Northrop Grumman extKeyUsage?
1.3.6.1.4.1.16334.509.2: northrop-pivi
1.3.6.1.4.1.16334.509.2.1: ngcClass1
1.3.6.1.4.1.16334.509.2.2: ngcClass2
1.3.6.1.4.1.16334.509.2.3: ngcClass3
1.3.6.1.4.1.17326: ac-camerfirma-sa
1.3.6.1.4.1.17326.10: certificate-policy-identification
1.3.6.1.4.1.17326.10.8: ???
1.3.6.1.4.1.17326.10.8.12: ???
1.3.6.1.4.1.17326.10.8.12.1: ???
1.3.6.1.4.1.17326.10.8.12.1.2: Camerfirma EV policy
1.3.6.1.4.1.17326.10.14: ???
1.3.6.1.4.1.17326.10.14.2: ???
1.3.6.1.4.1.17326.10.14.2.1: ???
1.3.6.1.4.1.17326.10.14.2.1.2: Camerfirma EV policy
1.3.6.1.4.1.22234: docusign-france
1.3.6.1.4.1.22234.2: ???
1.3.6.1.4.1.22234.2.5: ???
1.3.6.1.4.1.22234.2.5.2: ???
1.3.6.1.4.1.22234.2.5.2.3: ???
1.3.6.1.4.1.22234.2.5.2.3.1: CertPlus EV policy
1.3.6.1.4.1.23223: startcom-ltd
1.3.6.1.4.1.23223.1: ???
1.3.6.1.4.1.23223.1.1: ???
1.3.6.1.4.1.23223.1.1.1: StartCom EV policy
1.3.6.1.4.1.23629: safenet-inc
1.3.6.1.4.1.23629.1: ???
1.3.6.1.4.1.23629.1.4: ???
1.3.6.1.4.1.23629.1.4.2: ???
1.3.6.1.4.1.23629.1.4.2.1: ???
1.3.6.1.4.1.23629.1.4.2.1.1: safenetUsageLimit
1.3.6.1.4.1.23629.1.4.2.1.2: safenetEndDate
1.3.6.1.4.1.23629.1.4.2.1.3: safenetStartDate
1.3.6.1.4.1.23629.1.4.2.1.4: safenetAdminCert
1.3.6.1.4.1.23629.1.4.2.2: ???
1.3.6.1.4.1.23629.1.4.2.2.1: safenetKeyDigest
1.3.6.1.4.1.25054: carillon-information-security-inc
1.3.6.1.4.1.25054.3: carillonSecurity
1.3.6.1.4.1.25054.3.1: carillonCommercialPKI
1.3.6.1.4.1.25054.3.2: carillonCommercialTSA
1.3.6.1.4.1.25054.3.3: carillonCommercialSCVP
1.3.6.1.4.1.25054.3.3.1: carillonSCVPExtendedStatusInfo
1.3.6.1.4.1.25054.3.4: carillonCommercialCMS
1.3.6.1.4.1.25054.3.4.1: carillonExtKeyUsageCIVCardAuth
1.3.6.1.4.1.25054.3.4.2: carillonExtKeyUsageCIVContentSigning
1.3.6.1.4.1.25054.3.5: carillonCommercialLSAP
1.3.6.1.4.1.25054.3.5.1: carillonExtKeyUsageLSAPCodeSigning
1.3.6.1.4.1.25054.3.6: carillonCommercialCE
1.3.6.1.4.1.25054.3.7: carillonCommercialLicense
1.3.6.1.4.1.25054.3.7.1: carillonExtKeyUsageLicenseSigning
1.3.6.1.4.1.25054.3.8: carillonCommercialSecret
1.3.6.1.4.1.34697: entrust-limited
1.3.6.1.4.1.34697.2: premium-ev
1.3.6.1.4.1.34697.2.1: AffirmTrust EV policy
1.3.6.1.4.1.34697.2.2: AffirmTrust EV policy
1.3.6.1.4.1.34697.2.3: AffirmTrust EV policy
1.3.6.1.4.1.34697.2.4: AffirmTrust EV policy
1.3.6.1.4.1.40869: taiwan-ca-inc
1.3.6.1.4.1.40869.1: ???
1.3.6.1.4.1.40869.1.1: ???
1.3.6.1.4.1.40869.1.1.22: ???
1.3.6.1.4.1.40869.1.1.22.3: TWCA EV policy
1.3.6.1.4.1.51483: ctia
1.3.6.1.4.1.51483.2: ???
1.3.6.1.4.1.51483.2.1: hashOfRootKey
1.3.6.1.5: security
1.3.6.1.5.2: kerberosV
1.3.6.1.5.2.3: pkinit
1.3.6.1.5.2.3.1: authData
1.3.6.1.5.2.3.2: dHKeyData
1.3.6.1.5.2.3.3: rkeyData
1.3.6.1.5.2.3.4: keyPurposeClientAuth
1.3.6.1.5.2.3.5: keyPurposeKdc
1.3.6.1.5.2.3.6: kdf
1.3.6.1.5.5: mechanisms
1.3.6.1.5.5.7: pkix
1.3.6.1.5.5.7.0: mod
1.3.6.1.5.5.7.0.12: attributeCert
1.3.6.1.5.5.7.1: privateExtension
1.3.6.1.5.5.7.1.1: authorityInfoAccess
1.3.6.1.5.5.7.1.2: biometricInfo
1.3.6.1.5.5.7.1.3: qcStatements
1.3.6.1.5.5.7.1.4: acAuditIdentity
1.3.6.1.5.5.7.1.5: acTargeting
1.3.6.1.5.5.7.1.6: acAaControls
1.3.6.1.5.5.7.1.7: ipAddrBlocks
1.3.6.1.5.5.7.1.8: autonomousSysIds
1.3.6.1.5.5.7.1.9: routerIdentifier
1.3.6.1.5.5.7.1.10: acProxying
1.3.6.1.5.5.7.1.11: subjectInfoAccess
1.3.6.1.5.5.7.1.12: logoType
1.3.6.1.5.5.7.1.13: wlanSSID
1.3.6.1.5.5.7.1.14: proxyCertInfo
1.3.6.1.5.5.7.1.15: acPolicies
1.3.6.1.5.5.7.1.16: certificateWarranty
1.3.6.1.5.5.7.1.18: cmsContentConstraints
1.3.6.1.5.5.7.1.19: otherCerts
1.3.6.1.5.5.7.1.20: wrappedApexContinKey
1.3.6.1.5.5.7.1.21: clearanceConstraints
1.3.6.1.5.5.7.1.22: skiSemantics
1.3.6.1.5.5.7.1.23: noSecrecyAfforded
1.3.6.1.5.5.7.1.24: tlsFeature
1.3.6.1.5.5.7.1.25: manufacturerUsageDescription
1.3.6.1.5.5.7.1.26: tnAuthList
1.3.6.1.5.5.7.1.27: jwtClaimConstraints
1.3.6.1.5.5.7.1.28: ipAddrBlocksV2
1.3.6.1.5.5.7.1.29: autonomousSysIdsV2
1.3.6.1.5.5.7.1.30: manufacturerUsageDescriptionSigner
1.3.6.1.5.5.7.1.31: acmeIdentifier
1.3.6.1.5.5.7.1.32: masaURL
1.3.6.1.5.5.7.1.33: enhancedJWTClaimConstraints
1.3.6.1.5.5.7.1.34: nfTypes
1.3.6.1.5.5.7.2: policyQualifierIds
1.3.6.1.5.5.7.2.1: cps
1.3.6.1.5.5.7.2.2: unotice
1.3.6.1.5.5.7.2.3: textNotice
1.3.6.1.5.5.7.2.4: acps
1.3.6.1.5.5.7.2.5: acunotice
1.3.6.1.5.5.7.3: keyPurpose
1.3.6.1.5.5.7.3.1: serverAuth
1.3.6.1.5.5.7.3.2: clientAuth
1.3.6.1.5.5.7.3.3: codeSigning
1.3.6.1.5.5.7.3.4: emailProtection
1.3.6.1.5.5.7.3.5: ipsecEndSystem
1.3.6.1.5.5.7.3.6: ipsecTunnel
1.3.6.1.5.5.7.3.7: ipsecUser
1.3.6.1.5.5.7.3.8: timeStamping
1.3.6.1.5.5.7.3.9: ocspSigning
1.3.6.1.5.5.7.3.10: dvcs
1.3.6.1.5.5.7.3.11: sbgpCertAAServerAuth
1.3.6.1.5.5.7.3.12: scvpResponder
1.3.6.1.5.5.7.3.13: eapOverPPP
1.3.6.1.5.5.7.3.14: eapOverLAN
1.3.6.1.5.5.7.3.15: scvpServer
1.3.6.1.5.5.7.3.16: scvpClient
1.3.6.1.5.5.7.3.17: ipsecIKE
1.3.6.1.5.5.7.3.18: capwapAC
1.3.6.1.5.5.7.3.19: capwapWTP
1.3.6.1.5.5.7.3.20: sipDomain
1.3.6.1.5.5.7.3.21: secureShellClient
1.3.6.1.5.5.7.3.22: secureShellServer
1.3.6.1.5.5.7.3.23: sendRouter
1.3.6.1.5.5.7.3.24: sendProxiedRouter
1.3.6.1.5.5.7.3.25: sendOwner
1.3.6.1.5.5.7.3.26: sendProxiedOwner
1.3.6.1.5.5.7.3.27: cmcCA
1.3.6.1.5.5.7.3.28: cmcRA
1.3.6.1.5.5.7.3.29: cmcArchive
1.3.6.1.5.5.7.3.30: bgpsecRouter
1.3.6.1.5.5.7.3.31: bimi
1.3.6.1.5.5.7.3.32: cmKGA
1.3.6.1.5.5.7.3.33: rpcTLSClient
1.3.6.1.5.5.7.3.34: rpcTLSServer
1.3.6.1.5.5.7.3.35: bundleSecurity
1.3.6.1.5.5.7.3.36: documentSigning
1.3.6.1.5.5.7.4: cmpInformationTypes
1.3.6.1.5.5.7.4.1: caProtEncCert
1.3.6.1.5.5.7.4.2: signKeyPairTypes
1.3.6.1.5.5.7.4.3: encKeyPairTypes
1.3.6.1.5.5.7.4.4: preferredSymmAlg
1.3.6.1.5.5.7.4.5: caKeyUpdateInfo
1.3.6.1.5.5.7.4.6: currentCRL
1.3.6.1.5.5.7.4.7: unsupportedOIDs
1.3.6.1.5.5.7.4.10: keyPairParamReq
1.3.6.1.5.5.7.4.11: keyPairParamRep
1.3.6.1.5.5.7.4.12: revPassphrase
1.3.6.1.5.5.7.4.13: implicitConfirm
1.3.6.1.5.5.7.4.14: confirmWaitTime
1.3.6.1.5.5.7.4.15: origPKIMessage
1.3.6.1.5.5.7.4.16: suppLangTags
1.3.6.1.5.5.7.5: crmfRegistration
1.3.6.1.5.5.7.5.1: regCtrl
1.3.6.1.5.5.7.5.1.1: regToken
1.3.6.1.5.5.7.5.1.2: authenticator
1.3.6.1.5.5.7.5.1.3: pkiPublicationInfo
1.3.6.1.5.5.7.5.1.4: pkiArchiveOptions
1.3.6.1.5.5.7.5.1.5: oldCertID
1.3.6.1.5.5.7.5.1.6: protocolEncrKey
1.3.6.1.5.5.7.5.1.7: altCertTemplate
1.3.6.1.5.5.7.5.1.8: wtlsTemplate
1.3.6.1.5.5.7.5.2: utf8Pairs
1.3.6.1.5.5.7.5.2.1: utf8Pairs
1.3.6.1.5.5.7.5.2.2: certReq
1.3.6.1.5.5.7.6: algorithms
1.3.6.1.5.5.7.6.1: des40
1.3.6.1.5.5.7.6.2: noSignature
1.3.6.1.5.5.7.6.3: dhSigHmacSha1
1.3.6.1.5.5.7.6.4: dhPop
1.3.6.1.5.5.7.6.5: dhPopSha224
1.3.6.1.5.5.7.6.6: dhPopSha256
1.3.6.1.5.5.7.6.7: dhPopSha384
1.3.6.1.5.5.7.6.8: dhPopSha512
1.3.6.1.5.5.7.6.15: dhPopStaticSha224HmacSha224
1.3.6.1.5.5.7.6.16: dhPopStaticSha256HmacSha256
1.3.6.1.5.5.7.6.17: dhPopStaticSha384HmacSha384
1.3.6.1.5.5.7.6.18: dhPopStaticSha512HmacSha512
1.3.6.1.5.5.7.6.25: ecdhPopStaticSha224HmacSha224
1.3.6.1.5.5.7.6.26: ecdhPopStaticSha256HmacSha256
1.3.6.1.5.5.7.6.27: ecdhPopStaticSha384HmacSha384
1.3.6.1.5.5.7.6.28: ecdhPopStaticSha512HmacSha512
1.3.6.1.5.5.7.6.30: rsaPssShake128
1.3.6.1.5.5.7.6.31: rsaPssShake256
1.3.6.1.5.5.7.6.32: ecdsaShake128
1.3.6.1.5.5.7.6.33: ecdsaShake256
1.3.6.1.5.5.7.7: cmcControls
1.3.6.1.5.5.7.8: otherNames
1.3.6.1.5.5.7.8.1: personalData
1.3.6.1.5.5.7.8.2: userGroup
1.3.6.1.5.5.7.8.3: permanentIdentifier
1.3.6.1.5.5.7.8.5: xmppAddr
1.3.6.1.5.5.7.8.6: SIM
1.3.6.1.5.5.7.8.7: dnsSRV
1.3.6.1.5.5.7.8.8: naiRealm
1.3.6.1.5.5.7.8.9: smtpUTF8Mailbox
1.3.6.1.5.5.7.8.10: acpNodeName
1.3.6.1.5.5.7.8.11: bundleEID
1.3.6.1.5.5.7.9: personalData
1.3.6.1.5.5.7.9.1: dateOfBirth
1.3.6.1.5.5.7.9.2: placeOfBirth
1.3.6.1.5.5.7.9.3: gender
1.3.6.1.5.5.7.9.4: countryOfCitizenship
1.3.6.1.5.5.7.9.5: countryOfResidence
1.3.6.1.5.5.7.10: attributeCertificate
1.3.6.1.5.5.7.10.1: authenticationInfo
1.3.6.1.5.5.7.10.2: accessIdentity
1.3.6.1.5.5.7.10.3: chargingIdentity
1.3.6.1.5.5.7.10.4: group
1.3.6.1.5.5.7.10.5: role
1.3.6.1.5.5.7.10.6: wlanSSID
1.3.6.1.5.5.7.11: personalData
1.3.6.1.5.5.7.11.1: pkixQCSyntax-v1
1.3.6.1.5.5.7.11.2: pkixQCSyntax-v2
1.3.6.1.5.5.7.12: pkixCCT
1.3.6.1.5.5.7.12.2: pkiData
1.3.6.1.5.5.7.12.3: pkiResponse
1.3.6.1.5.5.7.14: ocsp
1.3.6.1.5.5.7.14.2: resourceCertificatePolicy
1.3.6.1.5.5.7.17: scvpCheck
1.3.6.1.5.5.7.17.1: scvpCheckBuildPath
1.3.6.1.5.5.7.17.2: scvpCheckBuildValidPath
1.3.6.1.5.5.7.17.3: scvpCheckBuildStatusCheckedPath
1.3.6.1.5.5.7.17.4: scvpCheckBuildAaPath
1.3.6.1.5.5.7.17.5: scvpCheckBuildValidAaPath
1.3.6.1.5.5.7.17.6: scvpCheckBuildStatusCheckedAaPath
1.3.6.1.5.5.7.17.7: scvpCheckStatusCheckAcAndBuildStatusCheckedAaPath
1.3.6.1.5.5.7.18: scvpWantBack
1.3.6.1.5.5.7.18.1: scvpWantbackBestCertPath
1.3.6.1.5.5.7.18.2: scvpWantbackRevocationInfo
1.3.6.1.5.5.7.18.4: scvpWantbackPublicKeyInfo
1.3.6.1.5.5.7.18.5: scvpWantbackAaCertPath
1.3.6.1.5.5.7.18.6: scvpWantbackAaRevocationInfo
1.3.6.1.5.5.7.18.7: scvpWantbackAcRevocationInfo
1.3.6.1.5.5.7.18.9: scvpWantbackRelayedResponses
1.3.6.1.5.5.7.18.10: scvpWantbackCert
1.3.6.1.5.5.7.18.11: scvpWantbackAcCert
1.3.6.1.5.5.7.18.12: scvpWantbackAllCertPaths
1.3.6.1.5.5.7.18.13: scvpWantbackEeRevocationInfo
1.3.6.1.5.5.7.18.14: scvpWantbackCAsRevocationInfo
1.3.6.1.5.5.7.19: scvpValPolicy
1.3.6.1.5.5.7.19.1: scvpDefaultValPolicy
1.3.6.1.5.5.7.19.2: scvpNameValAlg
1.3.6.1.5.5.7.19.2.1: scvpNameErrorNameMismatch
1.3.6.1.5.5.7.19.2.2: scvpNameErrorNoName
1.3.6.1.5.5.7.19.2.3: scvpNameErrorUnknownAlg
1.3.6.1.5.5.7.19.2.4: scvpNameErrorBadName
1.3.6.1.5.5.7.19.2.5: scvpNameErrorBadNameType
1.3.6.1.5.5.7.19.2.6: scvpNameErrorMixedNames
1.3.6.1.5.5.7.19.3: scvpBasicValAlg
1.3.6.1.5.5.7.19.3.1: scvpValErrorExpired
1.3.6.1.5.5.7.19.3.2: scvpValErrorNotYetValid
1.3.6.1.5.5.7.19.3.3: scvpValErrorWrongTrustAnchor
1.3.6.1.5.5.7.19.3.4: scvpValErrorNoValidCertPath
1.3.6.1.5.5.7.19.3.5: scvpValErrorRevoked
1.3.6.1.5.5.7.19.3.9: scvpValErrorInvalidKeyPurpose
1.3.6.1.5.5.7.19.3.10: scvpValErrorInvalidKeyUsage
1.3.6.1.5.5.7.19.3.11: scvpValErrorInvalidCertPolicy
1.3.6.1.5.5.7.20: logo
1.3.6.1.5.5.7.20.1: logoLoyalty
1.3.6.1.5.5.7.20.2: logoBackground
1.3.6.1.5.5.7.48: ad
1.3.6.1.5.5.7.48.1: ocsp
1.3.6.1.5.5.7.48.1.1: ocspBasic
1.3.6.1.5.5.7.48.1.2: ocspNonce
1.3.6.1.5.5.7.48.1.3: ocspCRL
1.3.6.1.5.5.7.48.1.4: ocspResponse
1.3.6.1.5.5.7.48.1.5: ocspNoCheck
1.3.6.1.5.5.7.48.1.6: ocspArchiveCutoff
1.3.6.1.5.5.7.48.1.7: ocspServiceLocator
1.3.6.1.5.5.7.48.2: caIssuers
1.3.6.1.5.5.7.48.3: timeStamping
1.3.6.1.5.5.7.48.4: dvcs
1.3.6.1.5.5.7.48.5: caRepository
1.3.6.1.5.5.7.48.7: signedObjectRepository
1.3.6.1.5.5.7.48.10: rpkiManifest
1.3.6.1.5.5.7.48.11: signedObject
1.3.6.1.5.5.8: ipsec
1.3.6.1.5.5.8.1: isakmpOakley
1.3.6.1.5.5.8.1.1: hmacMD5
1.3.6.1.5.5.8.1.2: hmacSHA
1.3.6.1.5.5.8.1.3: hmacTiger
1.3.6.1.5.5.8.2: certificate
1.3.6.1.5.5.8.2.2: iKEIntermediate
1.3.12: icd-ecma
1.3.12.2: member-company
1.3.12.2.1011: dec
1.3.12.2.1011.7: cryptoAlgorithms
1.3.12.2.1011.7.1: decEncryptionAlgorithm
1.3.12.2.1011.7.1.2: decDEA
1.3.12.2.1011.7.2: decHashAlgorithm
1.3.12.2.1011.7.2.1: decMD2
1.3.12.2.1011.7.2.2: decMD4
1.3.12.2.1011.7.3: decSignatureAlgorithm
1.3.12.2.1011.7.3.1: decMD2withRSA
1.3.12.2.1011.7.3.2: decMD4withRSA
1.3.12.2.1011.7.3.3: decDEAMAC
1.3.14: oiw
1.3.14.2: ???
